Id,From,To,Avg_Duration,Total_Duration,Avg_Bytes,Total_Bytes,Count,Hop_Count,Tactic
edge_0,143.88.0.41,143.88.11.10,0.0000700950622558594,0.000140190124511719,25.0,50,2,,none
edge_1,143.88.0.41,143.88.0.42,0.0000019073486328125,0.000003814697265625,24.0,48,2,,none
edge_2,143.88.0.42,143.88.0.41,0.00977069274148606,300.55627942085300,0.0015604174116576200,48,30761,2,none
edge_3,143.88.11.1,143.88.11.10,0.0000068460191999163,0.0000958442687988281,0.0,0,14,,none
edge_4,143.88.11.1,143.88.11.13,0.0,0.0,0.0,0,2,,none
edge_5,143.88.11.10,143.88.11.1,3.1754651695073000,321922.30795431100,0.0,0,101378,1,none
edge_6,143.88.11.10,143.88.11.13,0.03514726666367690,1084.328323841100,0.0,0,30851,1,none
edge_7,143.88.11.10,143.88.0.41,0.050673363438695400,1766.5747961998000,0.012850668349492300,448,34862,1,none
edge_8,143.88.11.11,143.88.11.1,2.38181989366143,16329.757190942800,0.043757292882147000,300,6856,2,none
edge_9,143.88.11.12,143.88.11.1,2.212449072913350,4805.439386367800,0.0,0,2172,2,none
edge_10,143.88.11.12,143.88.11.10,0.0,0.0,0.0,0,3,,none
edge_11,143.88.11.13,143.88.11.1,2.968806536484420,287416.09841013000,0.0,0,96812,2,none
edge_12,143.88.11.13,143.88.11.10,0.0,0.0,0.0,0,4,,none
edge_13,143.88.11.14,143.88.11.10,25.677705905654200,1129.8190598487900,10.636363636363600,468,44,,none
edge_14,143.88.255.50,143.88.255.1,46.84290793172070,142261.91138863600,0.09285479091208430,282,3037,,none
edge_15,143.88.7.10,143.88.2.10,0.002333746625912440,1216.9835205078100,0.0,0,521472,1,Reconnaissance
edge_16,143.88.7.12,143.88.2.10,4.276324987411500,1094.7391967773400,41.0,10496,256,,Reconnaissance
edge_17,143.88.7.15,143.88.2.10,4.157807060650420,14901.580505371100,0.07924107142857140,284,3584,,Reconnaissance
